製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
バンスキットFBテープ35温感,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮ふの弱い人は、同じところに続けて貼らないでください",15,"フェルビナク
l−メントール",禁止物質なし,,,,
コリクリアーFBテープ35温感,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮ふの弱い人は、同じところに続けて貼らないでください",15,"フェルビナク
l−メントール",禁止物質なし,,,,
コリクリアーFBテープL70温感,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮ふの弱い人は、同じところに続けて貼らないでください",15,"フェルビナク
l−メントール",禁止物質なし,,,,
ジクリッチZゲル,三友薬品,第2類,外用薬(皮膚),関節痛、肩こりに伴う肩の痛み、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘など)、筋肉痛、腰痛、打撲、捻挫,・1日3〜4回適量を患部に塗布してください。ただし、塗擦部位をラップフィルム等の通気性の悪いもので覆わないでください。 なお、本成分を含む他の外用剤を併用しないでください。 ・15歳未満の小児には使用しないでください。,・15歳未満の小児には使用しないでください,ジクロフェナクナトリウム,禁止物質なし,,,,
ジクリッチZローション,三友薬品,第2類,外用薬(皮膚),関節痛、肩こりに伴う肩の痛み、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘など)、筋肉痛、腰痛、打撲、捻挫,・1日3〜4回適量を患部に塗布してください。ただし、塗布部位をラップフィルム等の通気性の悪いもので覆わない  でください。なお、本成分を含む他の外用剤を併用しないでください。 ・15歳未満の小児は使用しないでください。,・15歳未満の小児は使用しないでください,ジクロフェナクナトリウム,禁止物質なし,,,,
ジクリッチZシップ,三友薬品,第2類,外用薬(皮膚),関節痛、肩こりに伴う肩の痛み、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘等)、筋肉痛、腰痛、打撲、捻挫,○プラスチックフィルムをはがし、1日1回患部に貼付してください。ただし、1回あたり2枚を超えて使用しないでください。なお、本成分を含む他の外用剤を併用しないでください。 ○15歳未満の小児は使用しないでください。,○15歳未満の小児は使用しないでください,ジクロフェナクナトリウム,禁止物質なし,,,,
ジクリッチZテープ,三友薬品,第2類,外用薬(皮膚),関節痛、肩こりに伴う肩の痛み、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘等)、筋肉痛、腰痛、打撲、捻挫,○プラスチックフィルムをはがし、1日1回1〜2枚を患部に貼付してください。ただし、1回あたり2枚を超えて使用しないでください。なお、本成分を含む他の外用剤を併用しないでください。 ○15歳未満の小児は使用しないでください。,○15歳未満の小児は使用しないでください,ジクロフェナクナトリウム,禁止物質なし,,,,
ジクリッチZテープL,三友薬品,第2類,外用薬(皮膚),関節痛、肩こりに伴う肩の痛み、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘等)、筋肉痛、腰痛、打撲、捻挫,・プラスチックフィルムをはがし、1日1回1枚を患部に貼付してください。ただし、1回あたり1枚を超えて使用しないでください。なお、本成分を含む他の外用剤を併用しないでください。 ・15歳未満の小児は使用しないでください。,・15歳未満の小児は使用しないでください,ジクロフェナクナトリウム,禁止物質なし,,,,
ボランテFBテープ5%α,三友薬品,第2類,外用薬(皮膚),肩こりに伴う肩の痛み、腰痛、関節痛、筋肉痛、腱鞘炎(手・手首・足首の痛みとはれ)、肘の痛み(テニス肘など)、打撲、捻挫,・表面のフィルムをはがし、1日2回を限度として患部に貼付してください。 ・15歳未満の小児は使用しないでください。,・15歳未満の小児は使用しないでください,"フェルビナク
l−メントール",禁止物質なし,,,,
ボランテFBテープL5%α,三友薬品,第2類,外用薬(皮膚),肩こりに伴う肩の痛み、腰痛、関節痛、筋肉痛、腱鞘炎(手・手首・足首の痛みとはれ)、肘の痛み(テニス肘など)、打撲、捻挫,・表面のフィルムをはがし、1日2回を限度として患部に貼付してください。 ・15歳未満の小児は使用しないでください。,・15歳未満の小児は使用しないでください,"フェルビナク
l−メントール",禁止物質なし,,,,
コリクリアーFBテープ5%α,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください",15,"フェルビナク
l−メントール",禁止物質なし,,,,
コリクリアーFBテープL5%α,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください",15,"フェルビナク
l−メントール",禁止物質なし,,,,
