product_name,manufacturer,medicine_type,recommendation_count,slug,matsukiyo_jan,matsukiyo_name,source_image_url,r2_url,status,note
エスタロンモカ内服液,同仁医薬化工,睡眠障害,7,エスタロンモカ内服液,4987300020500,エスタロンモカ内服液 ３０ｍｌ×２本 エスエス製薬 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987300020500_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/エスタロンモカ内服液.webp,uploaded,query=エスタロンモカ内服液 同仁医薬化工
クミアイ新頭痛錠,佐藤薬品工業,解熱鎮痛薬,6,クミアイ新頭痛錠,,,,,not_found,matsukiyo search: no match
リングルＮ３００,佐藤製薬,解熱鎮痛薬,6,リングルN300,4987316032948,リングルＮ ２０錠 佐藤製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987316032948_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/リングルN300.webp,uploaded,query=リングルＮ３００ 佐藤
ムコダイン去たん錠Ｐｒｏ５００,シオノギヘルスケア,風邪薬,6,ムコダイン去たん錠Pro500,4987904101407,ムコダイン去たん錠Ｐｒｏ５００ ２０錠 シオノギヘルスケア 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987904101407_01_fe365c313189e4242d78c5fc1f896ecf.jpg,https://images.yutok.dev/otc/ムコダイン去たん錠Pro500.webp,uploaded,query=ムコダイン去たん錠Ｐｒｏ５００ シオノギ
エスタックイブファインＥＸ,エスエス製薬,風邪薬,6,エスタックイブファインEX,,,,,not_found,matsukiyo search: no match
バファリンかぜＥＸ錠《瓶》,ライオン,風邪薬,6,バファリンかぜEX錠瓶,,,,,not_found,matsukiyo search: no match
仁壽,建林松鶴堂,解熱鎮痛薬,5,仁壽,,,,,not_found,matsukiyo search: no match
ズッキノンａ,小林製薬,解熱鎮痛薬,5,ズッキノンa,4987072083239,塗るズッキノン軟膏 １５ｇ 小林製薬 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987072083239_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ズッキノンa.webp,uploaded,query=ズッキノンａ 小林
暖中錠,大峰堂薬品工業,解熱鎮痛薬,5,暖中錠,,,,,not_found,matsukiyo search: no match
メソッドＷＯクリーム,ライオン,外用薬（皮膚）,5,メソッドWOクリーム,4903301301417,メソッド ＷＯクリーム １２ｇ ライオン 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4903301301417_01_bbd4335b5e85443a5780a075bf2e48b3.jpg,https://images.yutok.dev/otc/メソッドWOクリーム.webp,uploaded,query=メソッドＷＯクリーム ライオン
新スキントールＳ,雪の元本店,外用薬（皮膚）,5,新スキントールS,,,,,not_found,matsukiyo search: no match
メンソレータムカブレーナ乳液,ジャパンメディック,外用薬（皮膚）,5,メンソレータムカブレーナ乳液,4987241188642,メンソレータム カブレーナ乳液 １５ｇ ロート製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987241188642_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/メンソレータムカブレーナ乳液.webp,uploaded,query=メンソレータムカブレーナ乳液
ロキソニンＳ,第一三共ヘルスケア,解熱鎮痛薬,5,ロキソニンS,4987107610867,ロキソニンＳ １２錠 第一三共ヘルスケア 【第1類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987107610867_01_245bd2ae5f818cb1f786ec9110ff2aea.jpg,https://images.yutok.dev/otc/ロキソニンS.webp,uploaded,query=ロキソニンＳ 第一三共
フジコールＩＰ錠,三宝製薬,風邪薬,4,フジコールIP錠,,,,,not_found,matsukiyo search: no match
東洋の茵ちん五苓散料エキス顆粒,東洋漢方製薬,抗アレルギー薬,4,東洋の茵ちん五苓散料エキス顆粒,,,,,not_found,matsukiyo search: no match
サンワ白虎加人参湯エキス細粒,三和生薬,外用薬（のど）,4,サンワ白虎加人参湯エキス細粒,,,,,not_found,matsukiyo search: no match
ナロン顆粒,大正製薬,解熱鎮痛薬,4,ナロン顆粒,4987306040519,ナロンｍ ２４錠 大正製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987306040519_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ナロン顆粒.webp,uploaded,query=ナロン顆粒 大正
ニタンダ麻杏甘石湯エキス顆粒,二反田薬品工業,風邪薬,4,ニタンダ麻杏甘石湯エキス顆粒,,,,,not_found,matsukiyo search: no match
ヤマサンシャゼンソウ,小島漢方,風邪薬,4,ヤマサンシャゼンソウ,,,,,not_found,matsukiyo search: no match
ストナデイタイム,佐藤製薬,風邪薬,3,ストナデイタイム,,,,,not_found,matsukiyo search: no match
キュアティホワイトＮＫＢ,京都薬品工業,抗アレルギー薬,3,キュアティホワイトNKB,,,,,not_found,matsukiyo search: no match
ＤＨＣエルシスホワイト２４０,ディーエイチシー,抗アレルギー薬,3,DHCエルシスホワイト240,4511413804360,ＭＫ　ＤＨＣエルシスホワイト ２４０錠 ディーエイチシー 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/5/4511413804360_01_d03126aad339c4c69410d1ae735fd0c1.jpg,https://images.yutok.dev/otc/DHCエルシスホワイト240.webp,uploaded,query=ＤＨＣエルシスホワイト２４０ ディーエイチシー
